subject,jurisdiction,upl_risk_tier,pillar,review_status,variant_mechanics,variant_trust,variant_reinforcement,variant_minimal
repair,MN,LOW,RECORD,BETA,"When you report a repair problem, Semptify creates a dated record of what you reported, when you reported it, and who you told. This helps you prove later that the landlord knew about the problem.","A written record protects you. If the landlord later claims they never knew about the leak, your dated entry shows otherwise.","Write it down the same day it happens. A short note with the date is enough.","Repair logged."
repair,MN,LOW,ACT,BETA,"You can request repairs in writing and keep a copy. If the landlord does not fix the problem, you may be able to use your dated request as evidence to ask a court or housing inspector to step in.","A written repair request is one of the safest ways to protect yourself. It shows you followed the right steps and gave the landlord a fair chance to fix the problem.","Send the request, keep a copy, and note the date. This is your proof.","Repair request sent."
eviction,MN,HIGH,GOVERN,BETA,"Eviction cases have strict deadlines. Missing a deadline can mean losing your case before you get a chance to tell your side. Semptify can help you track dates, but if you have a court filing or hearing coming up, you should also speak with a tenant advocate or legal aid office as soon as possible.","Eviction is the kind of problem where one missed date can change everything. Getting help from a legal advocate is free in most places and gives you a person who knows the local rules.","Do not wait to get help if you have a court date or a deadline. A free advocate can double-check your dates.","Eviction deadline — get help now."
eviction,MN,HIGH,ACT,BETA,"If you have an eviction case, start by writing down the dates, notices, and anything your landlord said. Semptify can calculate deadlines and look up verified rules, but it cannot file court papers for you. A tenant advocate can help you understand your next step and any deadline.","Acting quickly and keeping a clear record gives you the best chance to respond on time and be heard.","Write down dates and notices, then get help with your next step.","Eviction action — document and get help."
discrimination,MN,HIGH,GOVERN,BETA,"Discrimination in housing is a serious claim. Semptify can help you document what happened and find verified rules, but it cannot decide whether discrimination occurred or tell you what to claim in court. If you believe you were treated unfairly because of a protected characteristic, a free tenant advocate or legal aid office can review your facts and explain your options.","Housing discrimination cases have strict rules and deadlines. A trained advocate can help you sort out what matters and what to do next, so you do not miss a step.","Get help early. The right advocate can review your documentation and explain your options.","Discrimination concern — get help."
evidence,MN,LOW,RECORD,BETA,"When something important happens with your housing, write down the date, time, what was said, and who was there. Save photos, messages, and receipts in your own storage. A clear record helps you and any advocate understand the timeline later.","A written record protects your memory. Later, it can help an advocate or attorney see exactly what happened and when.","Record dates, people, and what was said while it is fresh.","Event recorded."
rent,MN,LOW,KNOW,BETA,"Rent rules cover when rent is due, late fees, notice for changes, and what your lease says. Semptify can help you look up verified Minnesota rules, but it cannot interpret your lease or tell you what to pay. Read your lease and check the facts.","Knowing the actual rules and your lease terms helps you avoid mistakes and spot errors before they become bigger problems.","Check your lease and the verified rules before paying or disputing.","Know your rent rules."
retaliation,MN,HIGH,GOVERN,BETA,"If you believe your landlord is punishing you for asking for repairs or reporting a problem, that may be retaliation. Semptify can help you document the pattern, but it cannot decide whether the law applies. A tenant advocate can review your situation and explain your options.","Retaliation claims are complex and time-sensitive. An advocate can help you connect the facts to the rules.","Document the pattern and get help as soon as you can.","Retaliation concern — get help."
deposit,MN,LOW,KNOW,BETA,"Security deposit rules usually cover what can be withheld, how long a landlord has to return the deposit, and what notice you must give. Semptify can help you look up verified Minnesota rules, but it cannot decide what your landlord owes. Check your lease and local rules.","Knowing the rules helps you ask the right questions and keep the money records you may need later.","Save your lease, receipts, and move-out photos to support your deposit claim.","Know deposit rules."
timeline,MN,LOW,RECORD,BETA,"A timeline puts your housing events in order: notices, conversations, repairs, payments, and court dates. Semptify can help you build and save a timeline to your own storage. A clear timeline helps you and any advocate see the whole picture.","An ordered timeline makes it easier to explain what happened and spot missing steps or deadlines.","Add each event with a date and a short note to keep your timeline useful.","Timeline updated."
