category,name,file_path,status,privacy_scope,evidence_role,security_notes,next_action
module,eviction_defense,app/modules/eviction_defense/router.py,Implemented,Handles tenant defense information and case narrative. Should avoid unnecessary PII beyond case context.,Builds defense arguments and stores case-related evidence references for court filings.,Must route through module hub to preserve traceability and audit metadata.,Review hooks for module_hub updates and ensure audit logging on case state changes.
module,research,app/modules/research/router.py,Implemented,"Research data is non-sensitive external legal information, but case-linked queries must not leak user identifiers.",Provides statute and case-law support for tenant claims.,Ensure external research queries do not store private case details in logs or analytics.,Validate that AI/legal research requests sanitize case context before search.
module,case_builder,app/modules/case_builder/router.py,Implemented,Constructs the user’s case package; must preserve evidence chain and document provenance.,Assembles court-ready packets and links documents to timeline events.,Case builder output should be generated only after storage OAuth and session validation.,Confirm case_builder does not duplicate raw document content outside the vault or storage service.
module,complaints,app/modules/complaints/router.py,Implemented,Supports multi-agency complaints; should limit sensitive fields to only required complaint data.,Guides users through complaint filing while preserving agency deadlines and document attachments.,Complaint wizard flows should honor storage access and not persist sensitive user documents in app DB.,Audit complaint flow for any temporary data retention beyond session lifetime.
module,document_converter,app/modules/document_converter/router.py,Implemented,Converts documents between formats; must maintain original document integrity and avoid data loss.,Supports court-ready export and document preservation for filings.,Conversion artifacts should not remain cached beyond the active request.,Review document_converter handling of sensitive files and cleanup of temporary files.
module,legal_filing_module,app/modules/legal_filing_module.py,Implemented (integration wrapper),Integrates legal filing router logic; should not introduce new storage or PII handling.,Connects filing workflows to the legal_filing router and compliance pipeline.,"The router must rely on storage OAuth and existing access controls, not bypass them.",Confirm the router’s file access is authorized and that module_hub routing is logged.
module,example_payment_tracking,app/modules/example_payment_tracking.py,Implemented (example/sample module),Example payment tracking is a sample module; should be treated as non-production support.,Demonstrates module structure for financial tracking without core evidence reliance.,Keep this module isolated from production compliance logic unless promoted to active feature.,Document its sample status clearly and avoid using it for essential tenant evidence flows.
service,service_services_action_router,app/services/action_router.py,Implemented,"Implements service logic for app/services/action_router. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/action_router for data handling, audit logging, and access restrictions."
service,service_services_adaptive_ui,app/services/adaptive_ui.py,Implemented,"Implements service logic for app/services/adaptive_ui. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/adaptive_ui for data handling, audit logging, and access restrictions."
service,service_services_auto_mode_summary_service,app/services/auto_mode_summary_service.py,Implemented,"Implements service logic for app/services/auto_mode_summary_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/auto_mode_summary_service for data handling, audit logging, and access restrictions."
service,service_services_azure_ai,app/services/azure_ai.py,Implemented,"Implements service logic for app/services/azure_ai. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/azure_ai for data handling, audit logging, and access restrictions."
service,service_services_brain_integrations,app/services/brain_integrations.py,Implemented,"Implements service logic for app/services/brain_integrations. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/brain_integrations for data handling, audit logging, and access restrictions."
service,service_services_calendar_service,app/services/calendar_service.py,Implemented,"Implements service logic for app/services/calendar_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/calendar_service for data handling, audit logging, and access restrictions."
