subject,jurisdiction,upl_risk_tier,pillar,review_status,variant_mechanics,variant_trust,variant_reinforcement,variant_minimal,tier,source_citation
discrimination,MN,HIGH,GOVERN,BETA,"Housing discrimination happens when a landlord, seller, or housing provider treats you differently because of race, color, national origin, religion, sex, familial status, disability, or other protected traits. Minnesota law and the federal Fair Housing Act prohibit this in renting, advertising, financing, and other housing decisions. If you think you have been discriminated against, document the incident and contact a fair housing advocate or attorney promptly.",Discrimination cases have strict time limits and special procedural rules. Acting quickly and getting qualified help can protect your housing and your rights.,"Keep notes, messages, ads, and witness information. A fair housing advocate can help you file a complaint.",Document and get help for possible housing discrimination.,Tier 1,"Minn. Stat. § 363A.08; Minn. Stat. § 363A.09; 42 U.S.C. § 3604 (Fair Housing Act). Source URLs: https://www.revisor.mn.gov/statutes/cite/363A.08 , https://www.revisor.mn.gov/statutes/cite/363A.09 , https://www.govinfo.gov/content/pkg/USCODE-2011-title42/html/USCODE-2011-title42-chap45-subchapI-sec3604.htm"
eviction,MN,HIGH,ACT,BETA,"If you receive a notice for nonpayment, Minnesota law generally gives you at least 14 days to pay the total amount due or move out before the landlord can file an eviction case. Once a case is filed, the court summons must give you an appearance date between 7 and 14 days after the summons is issued. In a nonpayment case, you may be able to stop the eviction by paying all rent owed, costs, and a small attorney fee before the court delivers possession to the landlord. If the landlord also claims a material lease violation but fails to prove it, the court may give you up to 7 extra days to pay any rent found due.",These deadlines move fast. Missing the 14-day notice period or the court date can make losing your home much harder to stop.,"Read the notice carefully, note every deadline, and contact legal help or an advocate as soon as you can.","Pay, move, or respond by the deadline.",Tier 1,"Minn. Stat. § 504B.321 (notice and summons, 14-day cure period); Minn. Stat. § 504B.291 (right to cure nonpayment before possession delivered); Minn. Stat. § 504B.285, subd. 5 (up to 7 additional days to pay rent if material-lease claim fails). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.321 , https://www.revisor.mn.gov/statutes/cite/504B.291 , https://www.revisor.mn.gov/statutes/cite/504B.285"
eviction,MN,HIGH,GOVERN,BETA,"An eviction is a court lawsuit, not a landlord demand. A landlord must give proper notice, file a complaint, and get a court judgment before you can be removed. Self-help lockouts, utility shutoffs, or property seizures are generally not lawful. An eviction court file is not public until a final judgment is entered, and tenants may have defenses such as retaliation if the landlord acts within 90 days of a good-faith complaint. Because the consequences are serious, speak with a tenant advocate or attorney.","Eviction affects your record, credit, and housing options. Legal help can help you understand defenses and protect your rights.",Do not ignore court papers. Get legal help and document everything.,Eviction is a court process. Get legal help.,Tier 1,"Minn. Stat. § 504B.285 (eviction grounds and retaliation defense); Minn. Stat. § 504B.321 (procedural requirements, nonpublic record until final judgment). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.285 , https://www.revisor.mn.gov/statutes/cite/504B.321"
evidence,MN,LOW,RECORD,BETA,"Evidence is anything that helps show what happened. Save photos of conditions, copies of notices and receipts, screenshots of messages, emails, and any witness names. For each item, write the date, time, and a short note about what it shows. Keep the original files in your own storage and upload copies to your vault if you want them backed up.","Strong, organized evidence makes it much easier for an advocate, attorney, or court to understand your situation quickly.","Capture the what, when, and who for every piece of evidence.",Evidence saved with date and context.,Tier 2,General evidence-organization guidance; no specific statute or deadline cited. Review before live use.
rent,MN,LOW,KNOW,BETA,"Under Minnesota law, every residential lease includes a landlord covenant that the premises and common areas are fit for the intended use, kept in reasonable repair, and maintained in compliance with applicable health and safety laws. The landlord must also furnish heat at a minimum of 68 degrees Fahrenheit in habitable spaces from October 1 through April 30, unless a utility instructs otherwise, and must exterminate insects, rodents, and other pests. These covenants cannot be waived in the lease.",Knowing these covenants helps you tell the difference between a normal inconvenience and a problem the landlord is responsible for fixing.,"Fit premises, reasonable repair, heat, and pest control are landlord duties that cannot be waived.","Landlord must keep the unit fit, safe, and heated.",Tier 1,"Minn. Stat. § 504B.161 (covenants of landlord, including repair, heat minimum of 68°F from October 1 through April 30, and compliance with health and safety laws). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.161"
repair,MN,LOW,ACT,BETA,"If a repair affects health, safety, or habitability, notify the landlord in writing and keep a copy. If the landlord does not fix the problem, Minnesota law gives tenants several possible remedies, including asking a court to order the landlord to make repairs or to appoint an administrator. You may also have defenses if the landlord cuts off heat, water, gas, or electricity to pressure you. Each remedy has risks and deadlines, so get advice before taking action.",Acting through the proper legal channels protects your tenancy and your record better than withholding rent on your own.,"Document the defect, notify the landlord, and ask an advocate about the right remedy.",Notify in writing and seek advice before withholding rent.,Tier 1,"Minn. Stat. § 504B.161 (landlord covenants to repair and maintain); Minn. Stat. § 504B.425 (court may order landlord to remedy violation); Minn. Stat. § 504B.221 (unlawful termination of utilities). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.161 , https://www.revisor.mn.gov/statutes/cite/504B.425 , https://www.revisor.mn.gov/statutes/cite/504B.221"
repair,MN,LOW,RECORD,BETA,"When you request a repair, record the date and method of your request, what is broken, how it affects health or safety, and any photos or videos. Keep the landlord response, or note if there is none. A clear repair log helps show a pattern if you later need an advocate or a court.","A written, dated repair record turns a complaint into evidence and strengthens any later action.","Log every request, photo, and response.",Repair request logged with date and proof.,Tier 2,General record-keeping guidance tied to Minn. Stat. § 504B.161 repair covenants. Review before live use.
retaliation,MN,HIGH,GOVERN,BETA,"A landlord may not evict you, raise your rent, or reduce your services as a penalty because you made a good-faith complaint or tried to enforce your rights. If the landlord takes that action within 90 days of your complaint or enforcement attempt, the law presumes the action is retaliatory and the landlord must prove otherwise. This is a defense in an eviction case, but it is a serious legal claim that an advocate or attorney should help you present.","Retaliation is unlawful, but proving it requires showing the connection between your complaint and the landlord action. Get help.",Save your complaint and the landlord response. The 90-day window matters.,Retaliation may be a defense if it follows a complaint.,Tier 1,"Minn. Stat. § 504B.285, subd. 2 (retaliation defense); Minn. Stat. § 504B.441 (residential tenant may not be penalized for complaint); Minn. Stat. § 504B.285, subd. 3 (rent increase as penalty). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.285 , https://www.revisor.mn.gov/statutes/cite/504B.441"
deposit,MN,LOW,KNOW,BETA,"After your tenancy ends, Minnesota law generally requires the landlord to return your security deposit, with simple interest at 1% per year, within three weeks, or to send you a written statement showing the specific reason for any withholding. The landlord may only withhold for unpaid rent or to restore the premises to the condition at move-in, ordinary wear and tear excepted. If a landlord keeps a deposit in bad faith, the court may impose a penalty of up to $500 in addition to the deposit and interest.",Knowing these rules helps you spot an improper deduction and gives you a clear timeline to ask for your deposit back.,"Deposit plus 1% interest is due within three weeks, with a written statement for any withholding.",Deposit is due within three weeks with a written accounting.,Tier 1,"Minn. Stat. § 504B.178 (interest at 1% per annum, return within 3 weeks of tenancy end, written statement for withholding, deductions only for unpaid rent or damage beyond ordinary wear and tear, bad-faith retention penalty up to $500 per deposit, venue for recovery action). Source URL: https://www.revisor.mn.gov/statutes/cite/504B.178"
timeline,MN,LOW,RECORD,BETA,"A timeline is a simple chronological list of what happened in your housing situation. For each event, record the date, a short description, the type of event, and where the proof is. Include notices, payments, repairs, conversations, and any deadlines. Keeping events in order helps you, an advocate, or an attorney see the full picture.",A clear timeline turns scattered facts into a story that is much easier for an outsider to follow and believe.,"Add each event as it happens, with a date and a note.",Event added to your timeline.,Tier 2,General record-keeping guidance; no specific statute or deadline cited. Review before live use.
